<msg_type>  <time>  <packet_type>  <seq>  <size>  <ack>
rcv         3913.005       A       1      0       9502  
rcv         3925.264       A       1      0       9552  
snd         3931.083       D       9702   50      1     
rcv         3942.693       A       1      0       9602  
snd         3942.792       D       9752   50      1     
rcv         3942.856       A       1      0       9652  
snd         3942.975       D       9802   50      1     
rcv         3943.06        A       1      0       9702  
snd         3943.132       D       9852   50      1     
rcv         3943.219       A       1      0       9752  
snd         3943.284       D       9902   50      1     
drop        3943.284       D       9952   50      1     
rcv         3943.343       A       1      0       9802  
snd         3943.453       D       9952   50      1     
rcv         3954.438       A       1      0       9852  
rcv         3970.73        A       1      0       9902  
snd         3977.211       D       10002  50      1     
rcv         3977.342       A       1      0       9952  
snd         3983.848       D       10052  50      1     
rcv         3983.943       A       1      0       10002 
rcv         3984.052       A       1      0       10052 
snd         3984.138       D       10102  50      1     
rcv         3984.242       A       1      0       10102 
snd         3984.323       D       10152  50      1     
rcv         3984.517       A       1      0       10152 
rcv         3995.797       A       1      0       10202 
snd         4006.228       D       10202  50      1     
rcv         4006.406       A       1      0       10252 
snd         4012.664       D       10252  50      1     
rcv         4031.555       A       1      0       10302 
snd         4031.831       D       10302  50      1     
rcv         4037.688       A       1      0       10352 
snd         4055.564       D       10352  50      1     
snd         4055.744       D       10402  50      1     
snd         4055.862       D       10452  50      1     
snd         4055.956       D       10502  50      1     
rcv         4063.145       A       1      0       10402 
snd         4063.301       D       10552  50      1     
snd         4063.815       D       10602  50      1     
snd         4063.904       D       10652  50      1     
snd         4063.973       D       10702  50      1     
snd         4064.028       D       10752  50      1     
rcv         4069.301       A       1      0       10452 
rcv         4081.303       A       1      0       10502 
rcv         4081.406       A       1      0       10552 
rcv         4081.463       A       1      0       10602 
rcv         4081.551       A       1      0       10652 
rcv         4081.602       A       1      0       10702 
rcv         4081.648       A       1      0       10752 
rcv         4081.693       A       1      0       10802 
snd         4167.885       D       10802  50      1     
snd         4185.83        D       10852  50      1     
rcv         4186.1         A       1      0       10852 
snd         4186.368       D       10902  50      1     
rcv         4186.467       A       1      0       10902 
snd         4186.641       D       10952  50      1     
snd         4186.835       D       11002  50      1     
drop        4186.835       D       11052  50      1     
rcv         4186.959       A       1      0       10952 
snd         4187.044       D       11052  50      1     
rcv         4192.25        A       1      0       11002 
rcv         4203.917       A       1      0       11052 
snd         4204.056       D       11102  50      1     
rcv         4204.111       A       1      0       11102 
snd         4204.248       D       11152  50      1     
