<msg_type>  <time>  <packet_type>  <seq>  <size>  <ack>
rcv         16570.559       D       33952  50      1     
rcv         16603.566       D       34002  50      1     
rcv         16638.1        D       34052  50      1     
rcv         16660.428       D       34102  50      1     
rcv         16678.086       D       34152  50      1     
rcv         16696.091       D       34202  50      1     
rcv         16696.37       D       34252  50      1     
rcv         16696.559       D       34302  50      1     
rcv         16713.188       D       34352  50      1     
rcv         16736.256       D       34402  50      1     
rcv         16747.498       D       34452  50      1     
rcv         16770.619       D       34502  50      1     
rcv         16788.219       D       34552  50      1     
rcv         16794.765       D       34602  50      1     
rcv         16823.312       D       34652  50      1     
rcv         16856.888       D       34702  50      1     
rcv         16880.84       D       34752  50      1     
rcv         16908.531       D       34802  50      1     
rcv         16931.814       D       34852  50      1     
rcv         16966.714       D       34902  50      1     
rcv         16989.839       D       34952  50      1     
rcv         17024.001       D       35002  50      1     
rcv         17062.885       D       35052  50      1     
rcv         17099.094       D       35102  50      1     
rcv         17099.393       D       35152  50      1     
rcv         17106.176       D       35202  50      1     
rcv         17145.838       D       35252  50      1     
rcv         17174.014       D       35302  50      1     
rcv         17190.889       D       35352  50      1     
rcv         17202.83       D       35402  50      1     
rcv         17220.878       D       35452  50      1     
rcv         17249.142       D       35502  50      1     
rcv         17278.385       D       35552  50      1     
rcv         17299.958       D       35602  50      1     
rcv         17334.487       D       35652  50      1     
rcv         17351.508       D       35702  50      1     
rcv         17351.764       D       35752  50      1     
rcv         17351.988       D       35802  50      1     
rcv         17358.574       D       35852  50      1     
rcv         17382.313       D       35902  50      1     
rcv         17388.52       D       35952  50      1     
rcv         17406.763       D       36002  50      1     
rcv         17419.525       D       36052  50      1     
rcv         17447.376       D       36102  50      1     
rcv         17464.736       D       36152  50      1     
rcv         17496.541       D       36202  50      1     
rcv         17507.128       D       36252  50      1     
